probe	entrez	gene	pval.exp	odds.exp	pval.anthr	odds.exp.1	pval.expAnth	odds.expAnth	adjpval
208434_at	2122	MECOM	0.0110149687128708	22.678775412253	0.00901740630763403	4.9015263454809	0.00306039250232826	0.0353490030529242	0.478605437533434
204900_x_at	8819	SAP30	0.0138663280644146	19.3328325653956	0.0101358490407437	3.99290210453929	0.00344486780468656	0.0438790177117409	0.478605437533434
212258_s_at	6595	SMARCA2	0.0137529003799749	0.052732925609989	0.0142214320844333	10.6063059793086	0.00421124117219973	19.357131740625	0.478605437533434
213859_x_at	8467	SMARCA5	0.0100774941682383	51.9757758406681	0.0181347653112243	13.7221702436816	0.00490967856303914	0.0223712775699799	0.478605437533434
220586_at	80205	CHD9	0.00496615444154236	11.9578726607992	0.0141215523304707	6.97921700710387	0.00504850129972645	0.0453609950084934	0.478605437533434
208741_at	10284	SAP18	0.00413330224624842	0.00430437421590795	0.0212961032732994	16.7653713678681	0.0056197972189117	392.453681196782	0.478605437533434
204899_s_at	8819	SAP30	0.0196198692378481	12.7917577365151	0.00994267871345622	2.81942732067373	0.00606927185277906	0.055581570442654	0.478605437533434
203347_s_at	22823	MTF2	0.0119877880957781	14.9689599051492	0.0289050548766907	6.62362997402386	0.00844919466611416	0.042358570457753	0.507624539989969
204240_s_at	10592	SMC2	0.0312127978840393	32.5681248539285	0.0272759477519684	3.56958164739115	0.00889374278911026	0.0253927635119713	0.507624539989969
209704_at	22823	MTF2	0.0126383782136895	52.3681621803821	0.0335720197689507	13.3563349173055	0.00919609673894872	0.0127694113057805	0.507624539989969
208046_at	8359	HIST1H4A	0.0353606408203673	0.0406445878379437	0.0293861490792506	12.8168813321357	0.0108881314716166	30.4830031099882	0.526532792302085
203418_at	890	CCNA2	0.0440061734408357	15.7158922688419	0.0231264721631635	2.7408784089173	0.013748100885302	0.058996949641266	0.526532792302085
218663_at	64151	NCAPG	0.00353248840137388	24.1476375896394	0.0249040524638512	5.74011284445826	0.0143638484488707	0.066696135838578	0.526532792302085
202303_x_at	8467	SMARCA5	0.0311941219639515	240.559835832881	0.0424433075097983	21.9623467049016	0.0163413793714549	0.00501421896356222	0.526532792302085
222093_s_at	83444	INO80B	0.0189493586487903	0.0712910004066796	0.0350174410305977	7.79172240578485	0.0170991383972764	11.3440249740184	0.526532792302085
203875_at	6594	SMARCA1	0.0131081723991073	15.8449389446315	0.0410090929145712	6.36151466469255	0.0180221143984479	0.0823523298126916	0.526532792302085
