probe	entrez	gene	pval.exp	odds.exp	pval.anthr	odds.exp.1	pval.expAnth	odds.expAnth	adjpval
203793_x_at	7703	PCGF2	0	0.138448206291988	0	4.34145629941059	4.80726569662693e-14	5.89584528317926	2.65361066453807e-11
207138_at	5253	PHF2	0	0.127149240579846	4.32986979603811e-15	4.57958914983371	1.35299549341994e-11	6.9240920177443	3.73426756183903e-09
215273_s_at	10474	TADA3	5.65614222125532e-12	0.538329167517617	2.25941487741466e-12	3.06873176771661	5.58461055177872e-11	4.34182680132029	1.02756834152728e-08
214540_at	8348	HIST1H2BO	0	0.126364929928975	0	7.29906696628885	9.09463615528239e-11	7.33264280003	1.25505978942897e-08
202455_at	10014	HDAC5	0	0.208400840977975	1.13242748511766e-14	5.20871473826571	2.22839524610663e-10	5.72073936022597	2.46014835170172e-08
206951_at	8367	HIST1H4E	0	0.2249650292694	1.5842882561401e-13	4.72005208420973	8.07458211404821e-10	4.86054045501234	7.42861554492435e-08
205169_at	5929	RBBP5	1.80916392977792e-10	0.519953708729822	1.00291441818001e-10	2.79139995135368	1.21926502227865e-09	4.97240902256315	9.6147756042545e-08
213551_x_at	7703	PCGF2	0	0.192984426030027	1.66046065785963e-11	4.04016788448514	1.191908360898e-08	4.30170271152238	8.2241676901962e-07
203976_s_at	10036	CHAF1A	4.08250383499009e-08	0.704044824053455	4.51175763416245e-11	3.95660217681913	1.34864571732507e-08	5.68134379015867	8.2716937329271e-07
214616_at	8353	HIST1H3E	1.12465592394528e-13	0.26621831929608	1.01956221243427e-11	4.29425168076865	1.5934554675745e-08	4.92736562100179	8.79587418101124e-07
204531_s_at	672	BRCA1	2.30797990830034e-07	0.804815124234357	1.30332766801189e-09	3.19815148963049	4.66137415333634e-08	4.66691140374042	2.29002594909211e-06
205446_s_at	1386	ATF2	7.83706433082898e-13	0.18469430261619	2.98105984342101e-12	5.09643055521499	4.97831728063503e-08	7.53807278152031	2.29002594909211e-06
203064_s_at	3607	FOXK2	2.70207189956295e-11	0.274245996516473	2.5342905551895e-10	3.77291020099979	8.30388313666219e-08	5.98837111665792	3.52595653187502e-06
211149_at	7404	UTY	2.91555953157996e-07	0.608544272195927	2.5394165659165e-09	3.33631344913333	1.54408507202497e-07	6.88505893346688	6.08810685541274e-06
213202_at	9739	SETD1A	6.49738965075031e-07	0.646963479234951	1.06303651437045e-08	3.20091369670376	4.80639531397209e-07	3.9029463809276	1.76875347554173e-05
214239_x_at	7703	PCGF2	2.05735428693288e-12	0.304963756838921	9.28645860209798e-09	3.22208805595722	5.85795539409517e-07	3.3432856370782	2.02099461096283e-05
212275_s_at	10847	SRCAP	4.62474503137855e-12	0.197757217483375	1.20614507270744e-09	4.01076926843031	8.97289834989046e-07	5.39153439203141	2.91355287596443e-05
203874_s_at	6594	SMARCA1	1.73482339604902e-11	3.89035021888672	1.24332077966471e-09	4.08015750275415	1.19563579747961e-06	0.214909866693924	3.66661644560414e-05
210371_s_at	5928	RBBP4	6.42019770680236e-10	0.301862572757963	1.13288532332945e-07	2.80224288903177	1.92668120879702e-06	4.36255743706828	5.41786031178492e-05
214426_x_at	10036	CHAF1A	3.28151460893267e-07	0.484105271224757	5.00820196425167e-08	3.11356432915268	1.96299286658874e-06	4.40814618242056	5.41786031178492e-05
202383_at	8242	KDM5C	8.64686100499057e-12	0.236643285152863	2.69294980870249e-07	2.67506694865784	3.12230354249099e-06	3.97076229793161	8.20719788311917e-05
204252_at	1017	CDK2	5.04430106051945e-06	0.57731778523975	1.00932812618915e-06	2.55142653411233	7.05823570212871e-06	3.87410551108439	0.00017709755034432
221884_at	2122	MECOM	2.17381668221606e-13	5.38265059269263	4.49672716062999e-07	2.8627120994927	1.00136418195174e-05	0.253381211428334	0.000240327403668418
210878_s_at	51780	KDM3B	7.26598444744653e-07	0.415371789725095	5.97082801634397e-06	2.14960500500847	1.41866080910491e-05	4.47506219027777	0.000322907669873332
219262_at	79723	SUV39H2	1.00984887119182e-10	0.200159776322212	3.30634830625343e-09	4.57361485061167	1.48944649207561e-05	4.87756239092527	0.000322907669873332
215989_at	84733	CBX2	2.7052523554616e-08	0.314579963583895	1.15845248505053e-07	3.41163473905299	1.52094192331642e-05	4.10353258081377	0.000322907669873332
215294_s_at	6594	SMARCA1	1.23471288748789e-09	3.78877445183918	3.51395534670118e-07	3.07235681923705	1.6079579397088e-05	0.237758671053296	0.000328738067673799
