probe	entrez	gene	pval.exp	odds.exp	pval.anthr	odds.exp.1	pval.expAnth	odds.expAnth	adjpval
201354_s_at	11176	BAZ2A	0.000184239329094504	0.181668634888121	0.00112910108913999	8.34573428078203	0.000234589239774818	60.453001987944	0.0667812998452479
202473_x_at	3054	HCFC1	0.000443537749123091	0.401586084901532	0.00140536246962064	1.81736018212401	0.000298239527375288	29.0404309474736	0.0667812998452479
205659_at	9734	HDAC9	0.00071898434369444	7.01874578826616	0.0019074451676836	0.689808017090471	0.000500061492969661	0.0115078337442371	0.0667812998452479
213202_at	9739	SETD1A	0.00192508108460387	0.186998302944778	0.00272274342830392	2.88281835397386	0.000590774367495106	53.8358582121871	0.0667812998452479
217058_at	2778	GNAS	8.59256756762239e-05	0.438238230369101	0.00272624874029626	1.95915599107417	0.000604903078308405	32.4650700305146	0.0667812998452479
201459_at	10856	RUVBL2	0.00403400242831209	0.0542779940022751	0.00349310706283257	3.34478370993111	0.00103537538743137	80.1433617589078	0.095254535643686
219623_at	79913	ACTR5	0.00482306739082217	0.143470941857484	0.00997061416708245	3.77134353916858	0.00240187239874123	32.836553286444	0.161482353708458
209517_s_at	9070	ASH2L	0.00130725979988444	0.768450909333724	0.00901089698414315	0.0676959981547537	0.00257746413408022	0.00417111856471652	0.161482353708458
202556_s_at	10445	MCRS1	0.000907847807304907	0.612159100717999	0.00860505712881698	0.935807160480428	0.00265988165097331	15.9615016765626	0.161482353708458
201183_s_at	1108	CHD4	0.00485333356976891	0.340089148211653	0.0129858212975806	1.85685101486237	0.00321346934343325	10.1943260505906	0.161482353708458
206893_at	6299	SALL1	0.0146768511064075	10.361634983068	0.0145254869554128	0.486507850510016	0.00376043495047518	0.0131101711989292	0.161482353708458
217707_x_at	6595	SMARCA2	0.00874160267417945	14.7419987601967	0.0148937759906926	3.53872206602024	0.00382902704106858	0.0152309885985318	0.161482353708458
203743_s_at	6996	TDG	0.00166990428394487	0.0930201183755792	0.0154058055452903	0.780899045692114	0.00389797156856986	97.8055588429371	0.161482353708458
212520_s_at	6597	SMARCA4	0.00609252425488693	0.649028192782564	0.0159523759421479	1.42969653041235	0.00409556694188118	8.48202594604125	0.161482353708458
214885_at	84148	KAT8	0.00561785758655931	0.0951729012565327	0.018320169388778	9.96107266018964	0.00476022583821667	62.9151224448229	0.1642445143686
212275_s_at	10847	SRCAP	0.00284563069356325	0.217214517018351	0.0186090650048428	3.18687060528716	0.0047607105614087	21.7925001652336	0.1642445143686
201353_s_at	11176	BAZ2A	0.00677896252900223	0.174964778845591	0.0213374077883491	5.47719972003272	0.00557930235799742	34.7972557690495	0.18116322950674
205215_at	6045	RNF2	0.00589072853159667	0.235093679185926	0.0210380928040949	3.95665379299151	0.00613756432312429	51.7870922279033	0.188218639242478
208807_s_at	1107	CHD3	0.00734959857354001	0.678190780761041	0.0247950657362068	3.28897354378845	0.00713705767898998	19.8902779145396	0.193473972941042
206531_at	8193	DPF1	0.00613084744962811	0.371551104251103	0.0280851262817694	2.36587223685984	0.00751735767617834	10.1743899610994	0.193473972941042
215437_x_at	11176	BAZ2A	0.0234633920722465	0.224450998087577	0.0282145312260151	2.79673755467283	0.00784538565045656	17.6719449278234	0.193473972941042
207611_at	8340	HIST1H2BL	0.00578128708947168	0.101006559546393	0.0294031251837299	4.95998796217272	0.0080425498838389	43.0200066984299	0.193473972941042
214360_at	6597	SMARCA4	0.000935241787101027	0.162978913263152	0.031151620776195	2.45268000733036	0.00870511217478132	49.3574534582249	0.193473972941042
212078_s_at	4297	KMT2A	0.0320347493641457	0.0703821424561164	0.0319400041575997	5.01434798968977	0.00883338399093936	26.5938970120821	0.193473972941042
201548_s_at	10765	KDM5B	0.0113408274427751	0.151211250583704	0.0349876591212962	1.3423084529359	0.0096608649650255	23.0753861851888	0.193473972941042
220668_s_at	1789	DNMT3B	0.00606521897971168	0.377554732732906	0.0349020816660136	2.04056527748023	0.0102207427575729	24.6107017040353	0.193473972941042
212524_x_at	3014	H2AFX	0.00361296013000634	0.296370116853029	0.0367716401130919	2.122425425443	0.0104257556542453	23.0286607262606	0.193473972941042
211202_s_at	10765	KDM5B	0.0252131785167374	0.265057638603898	0.0372926707708751	2.5471567054454	0.0104302656810473	11.8215427261119	0.193473972941042
203845_at	8850	KAT2B	0.00379005594637061	2.89706267474994	0.0374969492052429	1.49956918174831	0.0106062526389267	0.063698334278784	0.193473972941042
201355_s_at	11176	BAZ2A	0.00406731954443207	0.37573969885958	0.0369288561222685	2.10186139018767	0.0115053719586647	8.87543850935604	0.193473972941042
206544_x_at	6595	SMARCA2	0.0150062475701581	2.26365245145359	0.04147360423421	2.23051666236299	0.0120462119535526	0.0677170367532195	0.193473972941042
208900_s_at	7150	TOP1	0.0125385894451462	0.461034891508837	0.039689062975146	1.15021566871662	0.0122745495154454	9.01640442158879	0.193473972941042
208901_s_at	7150	TOP1	0.028953858743143	0.297676751494583	0.0439774554602552	1.50036693475408	0.012455846525698	9.52842725241305	0.193473972941042
216023_at	23030	KDM4B	0.000231423845734158	0.515188076497522	0.0413239345074797	3.47638221979729	0.0124904694159564	17.6780350396703	0.193473972941042
201549_x_at	10765	KDM5B	0.0305288997156633	0.274058626036568	0.0447274385212796	2.29035718214117	0.0128866271536886	10.6296488420025	0.193473972941042
201072_s_at	6599	SMARCC1	0.00377815412288374	0.302444066122394	0.0459063248048827	1.86688279896845	0.013066056520508	17.2288992477747	0.193473972941042
203796_s_at	605	BCL7A	0.00432404841258582	0.267091492205775	0.0455030469316615	1.94550917037254	0.0131914430009071	16.1114911719803	0.193473972941042
201320_at	6601	SMARCC2	0.0296876003800325	0.231350755459569	0.047734350106085	4.47503826276383	0.0138254581161898	20.0156921930437	0.193473972941042
204900_x_at	8819	SAP30	0.0395143967093744	46.0009974554759	0.0440271905339784	18.2306371413281	0.0138964786277082	0.0103662935192261	0.193473972941042
217069_at	9757	KMT2B	0.00024366415352739	0.259936693987344	0.0494332271247618	2.3244570410285	0.0143070009476999	28.1466211610771	0.193473972941042
213146_at	23135	KDM6B	0.00471429656985412	0.181102891888647	0.0489591041471359	3.50887050542442	0.014453866241567	20.323996097093	0.193473972941042
212571_at	57680	CHD8	0.0283402441379581	0.194666567145405	0.0508160057649815	4.72021307491479	0.0147208457672532	24.2526053511778	0.193473972941042
201321_s_at	6601	SMARCC2	0.0247176720734495	0.347368746912635	0.0523087440557927	2.11767167937468	0.0156244340541548	17.5055315186862	0.200574130183569
209060_x_at	8202	NCOA3	0.0236719384133083	0.46126749140513	0.0563430908362972	1.81417818248792	0.0177708225383753	12.0113451151179	0.222943046390527
202303_x_at	8467	SMARCA5	0.0554375750768243	0.115512997548624	0.0627874810793971	1.00241666542973	0.0186635037388467	27.9485951628144	0.22893897919652
214728_x_at	6597	SMARCA4	0.0519484899435896	0.534807484864612	0.0645183661748164	1.4194832104865	0.0197313929039648	6.8245531303266	0.229663574624965
217985_s_at	11177	BAZ1A	0.0108299285832748	0.300567157048115	0.0625801981162285	1.28258188042909	0.0200892875198417	12.9125469169307	0.229663574624965
215071_s_at	8334	HIST1H2AC	0.0681326471258953	9.84067364397137	0.0706271289583197	1.46599853774737	0.0213414902847583	0.0585090767093301	0.229663574624965
208794_s_at	6597	SMARCA4	0.0406346325278755	0.54555524090346	0.0699301562477076	1.23814643284439	0.0213502315179481	5.90639906886964	0.229663574624965
209718_at	29781	NCAPH2	0.0648450049597464	0.222212425776327	0.069187826228288	3.34117303371795	0.0213569245277293	10.8154006562804	0.229663574624965
218395_at	64431	ACTR6	0.0392188960085803	0.422955415022762	0.0747367252311917	1.02555532190157	0.0227747868321803	8.76577805291402	0.229663574624965
221617_at	51616	TAF9B	0.062517037425994	0.0318878756668714	0.0741235553573605	9.61809290542427	0.0228051612357919	62.5079990387085	0.229663574624965
217937_s_at	51564	HDAC7	0.0285230798634832	0.254651184202769	0.074501778665399	7.44535627444638	0.0229222164069349	21.7700448421352	0.229663574624965
215616_s_at	23030	KDM4B	0.0508163699414366	0.0760597820224747	0.075004841400518	24.0821750004056	0.0229538577513708	66.865401102191	0.229663574624965
215714_s_at	6597	SMARCA4	0.0507161560931021	0.604665504365141	0.0740407170003212	1.08082341266998	0.0231950504166399	6.00214631107124	0.229663574624965
AFFX-HSAC07/X00351_5_at	60	ACTB	0.0625093973730979	6.98359376881977	0.0762026126797865	4.50330979669801	0.023387052896069	0.0462178503031823	0.229663574624965
219841_at	57379	AICDA	0.0189929000148168	1.58358400378347	0.0704898626574487	0.607144764365188	0.0246412659101651	0.0621571828190086	0.229663574624965
203205_at	9682	KDM4A	0.0526748842671572	0.0769383165720552	0.0747465744484076	2.97189821045727	0.0246485397814623	30.2921870597028	0.229663574624965
211221_at	10474	TADA3	0.0802017512729837	0.259450977610738	0.0800410073647251	1.74041227843671	0.0248636065923259	10.62253444751	0.229663574624965
211874_s_at	23522	KAT6B	0.00111233157130353	0.0928646798764215	0.0629339220838883	14.0636389015533	0.0254034621701681	181.055020016346	0.229663574624965
206542_s_at	6595	SMARCA2	0.0251286868755325	3.14863422008982	0.0787980851907908	2.41861340721697	0.0255727511275169	0.0757865895750483	0.229663574624965
213660_s_at	8940	TOP3B	0.0597104109612177	0.188687333852687	0.0830399567930521	2.02006570963474	0.0257955464252678	13.6527637883091	0.229663574624965
211783_s_at	9112	MTA1	0.0174192068192315	0.198651863880608	0.087012063649605	1.9655616625356	0.027117068692404	19.0963407687098	0.237597173304873
AFFX-HSAC07/X00351_M_at	60	ACTB	0.0696099207335134	8.40242855341902	0.0876280357163439	4.2443874386809	0.0276113804717965	0.0443798189088242	0.238148156569245
209911_x_at	3017	HIST1H2BD	0.0702124065317813	29.3480985904554	0.0900475859442755	0.438494224964842	0.029128157357716	0.0335979471803743	0.241669874490125
216711_s_at	6872	TAF1	0.0263005995561725	0.510412407505326	0.0925594135561121	2.13153126023021	0.0297185524092481	6.04592733706118	0.241669874490125
41386_i_at	23135	KDM6B	0.0318269022983805	0.0424576117464617	0.0838216120585761	15.7028643679332	0.0300224862470735	57.4994855388855	0.241669874490125
201827_at	6603	SMARCD2	0.0107387951928057	0.562703783178059	0.0932209027558071	3.0489104392994	0.030384482116833	17.3201635256618	0.241669874490125
212496_s_at	23030	KDM4B	0.0288851237274068	0.0419822327947803	0.0881494453639629	17.2489232598203	0.0306866152966	119.933437601252	0.241669874490125
201184_s_at	1108	CHD4	0.0422697438827055	0.32025052612179	0.0970812395349834	2.63064372693526	0.0310541359770511	7.38612150978243	0.241669874490125
208180_s_at	8365	HIST1H4H	0.0981273544456538	5.71898669241602	0.0982672104680933	0.851486736930337	0.0313503599227029	0.0628174566093403	0.241669874490125
204899_s_at	8819	SAP30	0.073114926030399	22.5805480132597	0.0983160918038972	7.04386667393972	0.0315221575421902	0.0427543411941973	0.241669874490125
212492_s_at	23030	KDM4B	0.0431597186867156	0.0289414737248883	0.0865189226120742	36.1753383581108	0.0321793665420768	122.609621039058	0.243328908646937
44822_s_at	54531	MIER2	0.0466565622358865	0.517418464588831	0.0953391183204776	2.84209281976128	0.0326415795866873	8.98484996878575	0.243488539619613
205070_at	54556	ING3	0.0381743762959947	2.26445967688701	0.0979467397612582	2.60463075436614	0.0334738845501527	0.068084760626412	0.243898368024438
207591_s_at	8289	ARID1A	0.000249772445471419	0.632241627905236	0.0991018725838616	1.9207593956267	0.033926755206197	13.2151008013183	0.243898368024438
201901_s_at	7528	YY1	0.021661517913799	0.411057764297506	0.104927881466275	1.0029684559924	0.0340220549599306	10.0305271597207	0.243898368024438
212922_s_at	56950	SMYD2	0.105290160290312	6.63326756466472	0.104283821180911	3.22270569280915	0.0348963653428128	0.056444885750168	0.246958893195291
211722_s_at	10013	HDAC6	0.07045875696701	0.402106601538603	0.10710820016615	1.33554435643917	0.0360359870873187	7.17675948957433	0.251795757875948
213720_s_at	6597	SMARCA4	0.0785327235244013	0.612652531993442	0.110267257298698	1.21997085160243	0.0367318204938434	5.74954872689927	0.25344956140752
AFFX-HSAC07/X00351_3_at	60	ACTB	0.116485268937914	9.12963282096007	0.113659048264948	2.52322591399335	0.0384449844191069	0.0653983822443608	0.261995449374654
214197_s_at	9869	SETDB1	0.0977851646705264	0.261360844470486	0.11710100899345	1.6652035151809	0.0390320847623884	10.5530131690807	0.26275257059559
213494_s_at	7528	YY1	0.0413005325993541	0.851527832691898	0.123363081888321	1.15037394418907	0.041722511885439	5.02856832886071	0.271328436419256
211989_at	6605	SMARCE1	0.0122007850718887	0.849713819914151	0.120964363782722	2.73491872346227	0.0418950258709128	22.5412563746449	0.271328436419256
213859_x_at	8467	SMARCA5	0.0731779443853117	0.233254038798887	0.126216857070745	1.33472699770407	0.0421674761781519	13.0925018803658	0.271328436419256
